"county","indicator","Unit","Date","Value"
"Kisumu Central","Number of Households","Number","2019","52331"
"Kisumu Central","Average Household size","","2019","3"
"Kisumu East","Number of Households","Number","2019","61871"
"Kisumu East","Average Household size","","2019","4"
"Kisumu","Number of Households","Number","2019","300745"
"Kisumu","Average Household size","","2019","4"
"Rarieda","Number of Households","Number","2019","37006"
"Rarieda","Average Household size","","2019","4"
"Bondo","Number of Households","Number","2019","51362"
"Bondo","Average Household size","","2019","4"
"Ugunja","Number of Households","Number","2019","26328"
"Ugunja","Average Household size","","2019","4"
"Ugenya","Number of Households","Number","2019","33565"
"Ugenya","Average Household size","","2019","4"
"Gem","Number of Households","Number","2019","44884"
"Gem","Average Household size","","2019","4"
"Siaya","Number of Households","Number","2019","57553"
"Siaya","Average Household size","","2019","4"
"Siaya","Number of Households","Number","2019","250698"
"Siaya","Average Household size","","2019","4"
"Teso South","Number of Households","Number","2019","36569"
"Teso South","Average Household size","","2019","5"
"Teso North","Number of Households","Number","2019","29395"
"Teso North","Average Household size","","2019","5"
"Samia","Number of Households","Number","2019","23884"
"Samia","Average Household size","","2019","4"
"Nambale","Number of Households","Number","2019","23892"
"Nambale","Average Household size","","2019","5"
"Butula","Number of Households","Number","2019","32213"
"Butula","Average Household size","","2019","4"
"Busia","Number of Households","Number","2019","33160"
"Busia","Average Household size","","2019","4"
"Bunyala","Number of Households","Number","2019","19039"
"Bunyala","Average Household size","","2019","4"
"Busia","Number of Households","Number","2019","198152"
"Busia","Average Household size","","2019","4"
"Mt Elgon Forest","Number of Households","Number","2019","798"
"Mt Elgon Forest","Average Household size","","2019","5"
"Webuye West","Number of Households","Number","2019","32839"
"Webuye West","Average Household size","","2019","5"
"Tongaren","Number of Households","Number","2019","21343"
"Tongaren","Average Household size","","2019","5"
"Bungoma West","Number of Households","Number","2019","25172"
"Bungoma West","Average Household size","","2019","5"
"Mt Elgon","Number of Households","Number","2019","15276"
"Mt Elgon","Average Household size","","2019","5"
"Kimilili-Bungoma","Number of Households","Number","2019","35263"
"Kimilili-Bungoma","Average Household size","","2019","5"
"Cheptais","Number of Households","Number","2019","26326"
"Cheptais","Average Household size","","2019","5"
"Bungoma South","Number of Households","Number","2019","69151"
"Bungoma South","Average Household size","","2019","4"
"Bungoma North","Number of Households","Number","2019","24998"
"Bungoma North","Average Household size","","2019","5"
"Bungoma East","Number of Households","Number","2019","24873"
"Bungoma East","Average Household size","","2019","5"
"Bungoma Central","Number of Households","Number","2019","37803"
"Bungoma Central","Average Household size","","2019","5"
"Bumula","Number of Households","Number","2019","44954"
"Bumula","Average Household size","","2019","5"
"Bungoma","Number of Households","Number","2019","358796"
"Bungoma","Average Household size","","2019","5"
"Kakamega Forest","Number of Households","Number","2019","12"
"Kakamega Forest","Average Household size","","2019","1"
"Hamisi","Number of Households","Number","2019","37986"
"Hamisi","Average Household size","","2019","4"
"Luanda","Number of Households","Number","2019","26766"
"Luanda","Average Household size","","2019","4"
"Sabatia","Number of Households","Number","2019","31422"
"Sabatia","Average Household size","","2019","4"
"Vihiga","Number of Households","Number","2019","23375"
"Vihiga","Average Household size","","2019","4"
"Emuhaya","Number of Households","Number","2019","23804"
"Emuhaya","Average Household size","","2019","4"
"Vihiga","Number of Households","Number","2019","143365"
"Vihiga","Average Household size","","2019","4"
"Navakholo","Number of Households","Number","2019","32315"
"Navakholo","Average Household size","","2019","5"
"Mumias West","Number of Households","Number","2019","27671"
"Mumias West","Average Household size","","2019","4"
"Mumias East","Number of Households","Number","2019","26049"
"Mumias East","Average Household size","","2019","4"
"Matete","Number of Households","Number","2019","13956"
"Matete","Average Household size","","2019","5"
"Matungu","Number of Households","Number","2019","36457"
"Matungu","Average Household size","","2019","5"
"Lugari","Number of Households","Number","2019","27862"
"Lugari","Average Household size","","2019","4"
"Likuyani","Number of Households","Number","2019","35322"
"Likuyani","Average Household size","","2019","4"
"Khwisero","Number of Households","Number","2019","27681"
"Khwisero","Average Household size","","2019","4"
"Kakamega South","Number of Households","Number","2019","26964"
"Kakamega South","Average Household size","","2019","4"
"Kakamega North","Number of Households","Number","2019","51083"
"Kakamega North","Average Household size","","2019","5"
"Kakamega East","Number of Households","Number","2019","39589"
"Kakamega East","Average Household size","","2019","4"
"Kakamega Central","Number of Households","Number","2019","52015"
"Kakamega Central","Average Household size","","2019","4"
"Butere","Number of Households","Number","2019","36243"
"Butere","Average Household size","","2019","4"
"Kakamega","Number of Households","Number","2019","433207"
"Kakamega","Average Household size","","2019","4"
"Bomet Central","Number of Households","Number","2019","38259"
"Bomet Central","Average Household size","","2019","5"
"Sotik","Number of Households","Number","2019","47315"
"Sotik","Average Household size","","2019","5"
"Konoin","Number of Households","Number","2019","38178"
"Konoin","Average Household size","","2019","4"
"Chepalungu","Number of Households","Number","2019","33931"
"Chepalungu","Average Household size","","2019","5"
"Bomet East","Number of Households","Number","2019","29958"
"Bomet East","Average Household size","","2019","5"
"Bomet","Number of Households","Number","2019","187641"
"Bomet","Average Household size","","2019","5"
"Soin Sigowet","Number of Households","Number","2019","27195"
"Soin Sigowet","Average Household size","","2019","5"
"Londiani","Number of Households","Number","2019","31778"
"Londiani","Average Household size","","2019","4"
"Kericho East","Number of Households","Number","2019","44246"
"Kericho East","Average Household size","","2019","4"
"Kipkelion","Number of Households","Number","2019","24688"
"Kipkelion","Average Household size","","2019","5"
"Bureti","Number of Households","Number","2019","43117"
"Bureti","Average Household size","","2019","5"
"Belgut","Number of Households","Number","2019","35012"
"Belgut","Average Household size","","2019","4"
"Kericho","Number of Households","Number","2019","206036"
"Kericho","Average Household size","","2019","4"
"Mashuuru","Number of Households","Number","2019","16152"
"Mashuuru","Average Household size","","2019","4"
"Loitokitok","Number of Households","Number","2019","47058"
"Loitokitok","Average Household size","","2019","4"
"Kajiado West","Number of Households","Number","2019","42774"
"Kajiado West","Average Household size","","2019","4"
"Kajiado North","Number of Households","Number","2019","101378"
"Kajiado North","Average Household size","","2019","3"
"Kajiado Central","Number of Households","Number","2019","37238"
"Kajiado Central","Average Household size","","2019","4"
"Isinya","Number of Households","Number","2019","71579"
"Isinya","Average Household size","","2019","3"
"Kajiado","Number of Households","Number","2019","316179"
"Kajiado","Average Household size","","2019","4"
"Mau Forest","Number of Households","Number","2019","32"
"Mau Forest","Average Household size","","2019","1"
"Trans Mara West","Number of Households","Number","2019","50132"
"Trans Mara West","Average Household size","","2019","5"
"Trans Mara East","Number of Households","Number","2019","20506"
"Trans Mara East","Average Household size","","2019","5"
"Narok West","Number of Households","Number","2019","38658"
"Narok West","Average Household size","","2019","5"
"Narok South","Number of Households","Number","2019","46723"
"Narok South","Average Household size","","2019","5"
"Narok North","Number of Households","Number","2019","59996"
"Narok North","Average Household size","","2019","4"
"Narok East","Number of Households","Number","2019","25078"
"Narok East","Average Household size","","2019","5"
"Narok","Number of Households","Number","2019","241125"
"Narok","Average Household size","","2019","5"
"Subukia","Number of Households","Number","2019","21819"
"Subukia","Average Household size","","2019","4"
"Rongai","Number of Households","Number","2019","52348"
"Rongai","Average Household size","","2019","4"
"Njoro","Number of Households","Number","2019","61271"
"Njoro","Average Household size","","2019","4"
"Nakuru West","Number of Households","Number","2019","64481"
"Nakuru West","Average Household size","","2019","3"
"Nakuru North","Number of Households","Number","2019","61728"
"Nakuru North","Average Household size","","2019","4"
"Nakuru East","Number of Households","Number","2019","61398"
"Nakuru East","Average Household size","","2019","3"
"Naivasha","Number of Households","Number","2019","117633"
"Naivasha","Average Household size","","2019","3"
"Molo","Number of Households","Number","2019","41462"
"Molo","Average Household size","","2019","4"
"Kuresoi South","Number of Households","Number","2019","34627"
"Kuresoi South","Average Household size","","2019","4"
"Kuresoi North","Number of Households","Number","2019","40359"
"Kuresoi North","Average Household size","","2019","4"
"Gilgil","Number of Households","Number","2019","58920"
"Gilgil","Average Household size","","2019","3"
"Nakuru","Number of Households","Number","2019","616046"
"Nakuru","Average Household size","","2019","3"
"Nyahururu","Number of Households","Number","2019","44617"
"Nyahururu","Average Household size","","2019","3"
"Laikipia West","Number of Households","Number","2019","33025"
"Laikipia West","Average Household size","","2019","4"
"Laikipia North","Number of Households","Number","2019","7752"
"Laikipia North","Average Household size","","2019","5"
"Laikipia East","Number of Households","Number","2019","33505"
"Laikipia East","Average Household size","","2019","3"
"Laikipia Central","Number of Households","Number","2019","30372"
"Laikipia Central","Average Household size","","2019","3"
"Laikipia","Number of Households","Number","2019","149271"
"Laikipia","Average Household size","","2019","3"
"Tiaty East","Number of Households","Number","2019","12153"
"Tiaty East","Average Household size","","2019","6"
"Mogotio","Number of Households","Number","2019","18184"
"Mogotio","Average Household size","","2019","5"
"Marigat","Number of Households","Number","2019","19854"
"Marigat","Average Household size","","2019","4"
"Koibatek","Number of Households","Number","2019","30774"
"Koibatek","Average Household size","","2019","4"
"East Pokot","Number of Households","Number","2019","14498"
"East Pokot","Average Household size","","2019","6"
"Baringo North","Number of Households","Number","2019","23500"
"Baringo North","Average Household size","","2019","4"
"Baringo Central","Number of Households","Number","2019","23555"
"Baringo Central","Average Household size","","2019","4"
"Baringo","Number of Households","Number","2019","142518"
"Baringo","Average Household size","","2019","5"
"Tinderet","Number of Households","Number","2019","24331"
"Tinderet","Average Household size","","2019","5"
"Nandi South","Number of Households","Number","2019","37094"
"Nandi South","Average Household size","","2019","5"
"Nandi North","Number of Households","Number","2019","35297"
"Nandi North","Average Household size","","2019","5"
"Nandi East","Number of Households","Number","2019","29253"
"Nandi East","Average Household size","","2019","4"
"Nandi Central","Number of Households","Number","2019","34400"
