"county","indicator","Unit","Date","Value"
"Mt Kenya Forest","Number of Households","Number","2019","113"
"Mt Kenya Forest","Average Household size","","2019","2"
"Tharaka South","Number of Households","Number","2019","18646"
"Tharaka South","Average Household size","","2019","4"
"Tharaka North","Number of Households","Number","2019","13413"
"Tharaka North","Average Household size","","2019","4"
"Meru South","Number of Households","Number","2019","28249"
"Meru South","Average Household size","","2019","3"
"Maara","Number of Households","Number","2019","35041"
"Maara","Average Household size","","2019","3"
"Igambang'ombe","Number of Households","Number","2019","14398"
"Igambang'ombe","Average Household size","","2019","4"
"Tharaka-Nithi","Number of Households","Number","2019","109860"
"Tharaka-Nithi","Average Household size","","2019","4"
"Mt Kenya Forest","Number of Households","Number","2019","283"
"Mt Kenya Forest","Average Household size","","2019","2"
"Meru National Park","Number of Households","Number","2019","207"
"Meru National Park","Average Household size","","2019","2"
"Tigania West","Number of Households","Number","2019","36207"
"Tigania West","Average Household size","","2019","4"
"Tigania East","Number of Households","Number","2019","17185"
"Tigania East","Average Household size","","2019","4"
"Tigania Central","Number of Households","Number","2019","25039"
"Tigania Central","Average Household size","","2019","4"
"Meru Central","Number of Households","Number","2019","39595"
"Meru Central","Average Household size","","2019","3"
"Imenti South","Number of Households","Number","2019","64186"
"Imenti South","Average Household size","","2019","3"
"Imenti North","Number of Households","Number","2019","57668"
"Imenti North","Average Household size","","2019","3"
"Igembe South","Number of Households","Number","2019","43281"
"Igembe South","Average Household size","","2019","4"
"Igembe North","Number of Households","Number","2019","38871"
"Igembe North","Average Household size","","2019","4"
"Igembe Central","Number of Households","Number","2019","52031"
"Igembe Central","Average Household size","","2019","4"
"Buuri West","Number of Households","Number","2019","27973"
"Buuri West","Average Household size","","2019","3"
"Buuri East","Number of Households","Number","2019","23834"
"Buuri East","Average Household size","","2019","3"
"Meru","Number of Households","Number","2019","426360"
"Meru","Average Household size","","2019","4"
"Merti","Number of Households","Number","2019","9558"
"Merti","Average Household size","","2019","5"
"Isiolo","Number of Households","Number","2019","29853"
"Isiolo","Average Household size","","2019","4"
"Garbatulla","Number of Households","Number","2019","18661"
"Garbatulla","Average Household size","","2019","5"
"Isiolo","Number of Households","Number","2019","58072"
"Isiolo","Average Household size","","2019","5"
"Sololo","Number of Households","Number","2019","7238"
"Sololo","Average Household size","","2019","6"
"North Horr","Number of Households","Number","2019","9789"
"North Horr","Average Household size","","2019","7"
"Moyale","Number of Households","Number","2019","17709"
"Moyale","Average Household size","","2019","6"
"Marsabit South","Number of Households","Number","2019","11615"
"Marsabit South","Average Household size","","2019","6"
"Marsabit North","Number of Households","Number","2019","7521"
"Marsabit North","Average Household size","","2019","7"
"Marsabit Central","Number of Households","Number","2019","15849"
"Marsabit Central","Average Household size","","2019","5"
"Loiyangalani","Number of Households","Number","2019","7774"
"Loiyangalani","Average Household size","","2019","5"
"Marsabit","Number of Households","Number","2019","77495"
"Marsabit","Average Household size","","2019","6"
"Mandera North","Number of Households","Number","2019","19117"
"Mandera North","Average Household size","","2019","7"
"Mandera Central","Number of Households","Number","2019","21140"
"Mandera Central","Average Household size","","2019","7"
"Mandera East","Number of Households","Number","2019","25904"
"Mandera East","Average Household size","","2019","6"
"Lafey","Number of Households","Number","2019","11597"
"Lafey","Average Household size","","2019","7"
"Kutulo","Number of Households","Number","2019","9446"
"Kutulo","Average Household size","","2019","8"
"Banisa","Number of Households","Number","2019","24285"
"Banisa","Average Household size","","2019","6"
"Mandera West","Number of Households","Number","2019","14274"
"Mandera West","Average Household size","","2019","7"
"Mandera","Number of Households","Number","2019","125763"
"Mandera","Average Household size","","2019","7"
"Wajir West","Number of Households","Number","2019","16362"
"Wajir West","Average Household size","","2019","7"
"Wajir South","Number of Households","Number","2019","21364"
"Wajir South","Average Household size","","2019","5"
"Wajir North","Number of Households","Number","2019","10490"
"Wajir North","Average Household size","","2019","6"
"Wajir East","Number of Households","Number","2019","18674"
"Wajir East","Average Household size","","2019","6"
"Tarbaj","Number of Households","Number","2019","9378"
"Tarbaj","Average Household size","","2019","6"
"Habaswein","Number of Households","Number","2019","31292"
"Habaswein","Average Household size","","2019","6"
"Buna","Number of Households","Number","2019","6480"
"Buna","Average Household size","","2019","7"
"Eldas","Number of Households","Number","2019","13892"
"Eldas","Average Household size","","2019","6"
"Wajir","Number of Households","Number","2019","127932"
"Wajir","Average Household size","","2019","6"
"Lagdera","Number of Households","Number","2019","8340"
"Lagdera","Average Household size","","2019","6"
"Ijara","Number of Households","Number","2019","18481"
"Ijara","Average Household size","","2019","8"
"Hulugho","Number of Households","Number","2019","20254"
"Hulugho","Average Household size","","2019","7"
"Garissa","Number of Households","Number","2019","30518"
"Garissa","Average Household size","","2019","5"
"Fafi","Number of Households","Number","2019","23671"
"Fafi","Average Household size","","2019","6"
"Dadaab","Number of Households","Number","2019","35793"
"Dadaab","Average Household size","","2019","5"
"Balambala","Number of Households","Number","2019","4337"
"Balambala","Average Household size","","2019","7"
"Garissa","Number of Households","Number","2019","141394"
"Garissa","Average Household size","","2019","6"
"Taveta","Number of Households","Number","2019","24115"
"Taveta","Average Household size","","2019","4"
"Taita","Number of Households","Number","2019","15094"
"Taita","Average Household size","","2019","4"
"Voi","Number of Households","Number","2019","33522"
"Voi","Average Household size","","2019","3"
"Mwatate","Number of Households","Number","2019","23698"
"Mwatate","Average Household size","","2019","3"
"Taita/Taveta","Number of Households","Number","2019","96429"
"Taita/Taveta","Average Household size","","2019","3"
"Lamu West","Number of Households","Number","2019","32873"
"Lamu West","Average Household size","","2019","4"
"Lamu East","Number of Households","Number","2019","5090"
"Lamu East","Average Household size","","2019","4"
"Lamu","Number of Households","Number","2019","37963"
"Lamu","Average Household size","","2019","4"
"Tana River","Number of Households","Number","2019","18565"
"Tana River","Average Household size","","2019","5"
"Tana Delta","Number of Households","Number","2019","26886"
"Tana Delta","Average Household size","","2019","4"
"Tana North","Number of Households","Number","2019","22791"
"Tana North","Average Household size","","2019","5"
"Tana River","Number of Households","Number","2019","68242"
"Tana River","Average Household size","","2019","5"
"Rabai","Number of Households","Number","2019","24809"
"Rabai","Average Household size","","2019","5"
"Malindi","Number of Households","Number","2019","73547"
"Malindi","Average Household size","","2019","4"
